Year,Inflation,Unemployment,GDP Growth,Population Growth
1970,6.51484141652981,,1.85600172758038,0.751422718375473
1971,5.8698695907191,,3.17782168196071,0.694895770618858
1972,6.56236090256536,,3.79759816845579,0.571991415170235
1973,9.30338297973673,0.9,4.71949291132046,0.604488383151481
1974,15.2752062218395,2.1,-0.964267384329801,0.465594010478141
1975,9.60561207538676,5.1,-1.40989953291778,0.28826879589183
1976,9.01029083562224,5.3,5.99340195153275,0.251350791765536
1977,10.9222378100329,6.4,1.98543025474245,0.311445515827576
1978,10.2136545710405,7.3,2.41699354282181,0.310596092763269
1979,9.61105037907122,6.1,4.05329979126334,0.245630488836795
1980,12.3053240760182,7.0,-0.751430002361559,0.121603620045595
1981,11.7673874344181,9.2,-0.740986389012875,-0.0284052115613932
1982,10.1208256779823,10.0,3.89211245643591,-0.0734810004992979
1983,6.90822881158842,9.745,2.65480394401855,-0.0686662119157628
1984,6.29077936023771,8.868,4.33934505132922,-0.0523767271552282
1985,4.6787514518325,7.797,4.15308383294486,0.0405268892260381
1986,3.67818411863452,6.033,4.73340611933794,0.133727781435023
1987,4.01999345683163,6.091,0.462955829960563,0.126664340279044
1988,4.5351330101572,6.486,0.272951118976223,0.0485933862498549
1989,4.77272342435522,8.149,0.697173210370437,0.0599876651546732
1990,2.64160306382,8.338,1.66026774169177,0.162456320242469
1991,2.39515331724415,9.099,1.45818005306188,0.259518212115074
1992,2.09604442933217,9.027,2.0228112415746,0.330671401713551
1993,1.25785667953259,10.719,-0.078900412805325,0.333166395661953
1994,1.99201463809526,8.036,5.29469615156448,0.337707376243322
1995,2.08360842382846,6.992,3.03802150461165,0.520962181078711
1996,2.12629802275584,6.844,2.89575069230459,0.565926341934592
1997,2.18216677907116,5.4,3.16848143784479,0.415564969331455
1998,1.84565122007889,5.039,2.32630274538961,0.363162523600756
1999,2.4977954440453,5.142,2.96730536257029,0.330886246186545
2000,2.90328203236453,4.476,3.72400899471576,0.334233618829261
2001,2.33787000255262,4.164,0.95003224600012,0.358315678955486
2002,2.42443661219697,4.274,0.456530018779986,0.319487125340996
2003,2.07507820646507,5.398,0.441091006625101,0.272010444031566
2004,1.15435693124932,5.204,2.77635180744053,0.258432282052875
2005,1.81781458291254,4.83,2.35960882992528,0.275481733409308
2006,1.92422138464594,3.897,3.81648769908172,0.328645158919929
2007,1.69326586220315,3.801,0.987173815945127,0.443466054321374
2008,3.41626794258373,3.683,-0.417178439991005,0.587547590258978
2009,1.30470991024337,6.409,-4.97447905669058,0.535079062079429
2010,2.31092436974789,7.747,1.58289703108802,0.444197154509531
2011,2.7586822605125,7.769,1.3108037609606,0.411737855195019
2012,2.3979148566464,7.798,-0.0054323016167074,0.376272242619955
2013,0.789071780078062,7.384,1.39267343161971,0.416901360752097
2014,0.56402054044954,6.925,1.27799983192831,0.507053283010163
2015,0.452034153691575,6.278,2.10441456445301,0.706423849687002
2016,0.250000000000031,5.989,3.07304549209093,0.780392644135167
2017,1.14713216957602,5.833,3.05647723922718,0.643350903737356
2018,0.813609467455631,5.131,1.8600074900921,0.495838925879129
2019,0.75813157251162,5.018,1.71140093932736,0.358130915892652
2020,0.420711974110115,5.637,-1.78010601831291,0.291641177476633
2021,1.8530454398968,5.043,7.38206633449863,0.433414489409722
2022,7.6965669988926,4.434,1.54017307357893,0.787502464739957
2023,3.30517811237606,5.094,2.49518434516773,0.741185515720057
2024,1.37220049768918,,3.67619734971929,0.503861198167737
